일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/11/18","70200","-500","-0.71","70700","71000","70200","10144957","715155784712","419078735010000","5969782550"
"2021/11/17","70700","-600","-0.84","71300","71600","70600","11027606","782835405900","422063626285000","5969782550"
"2021/11/16","71300","-100","-0.14","71500","72000","71300","10919239","782118934000","425645495815000","5969782550"
"2021/11/15","71400","800","1.13","71700","71900","70900","12420710","888880719596","426242474070000","5969782550"
"2021/11/12","70600","700","1.00","70200","70900","69900","10087450","711487813500","421466648030000","5969782550"
"2021/11/11","69900","-300","-0.43","69900","70000","69600","11489122","802183238200","417287800245000","5969782550"
"2021/11/10","70200","-300","-0.43","70300","70900","70200","9422009","663952838500","419078735010000","5969782550"
"2021/11/09","70500","-100","-0.14","70300","71000","70100","11159589","785532089300","420869669775000","5969782550"
"2021/11/08","70600","400","0.57","70400","70600","69800","11121981","780514063641","421466648030000","5969782550"
"2021/11/05","70200","-400","-0.57","71600","71600","70200","12667743","893824641500","419078735010000","5969782550"
"2021/11/04","70600","200","0.28","71200","71600","70500","11818987","839689026002","421466648030000","5969782550"
"2021/11/03","70400","-1100","-1.54","71700","71700","70100","12770428","901884731944","420272691520000","5969782550"
"2021/11/02","71500","1600","2.29","70800","72200","70700","16812570","1204672538100","426839452325000","5969782550"
"2021/11/01","69900","100","0.14","70200","70600","69900","11503729","807716414830","417287800245000","5969782550"
"2021/10/29","69800","-900","-1.27","71200","71600","69700","17016151","1196597498200","416690821990000","5969782550"
"2021/10/28","70700","600","0.86","69500","72200","69500","20644902","1459533451800","422063626285000","5969782550"
"2021/10/27","70100","-1000","-1.41","71000","71000","70000","10295316","723286321636","418481756755000","5969782550"
"2021/10/26","71100","900","1.28","70600","71500","70400","10528252","746412840225","424451539305000","5969782550"
"2021/10/25","70200","-200","-0.28","69900","70600","69500","10029621","702792157900","419078735010000","5969782550"
"2021/10/22","70400","200","0.28","70000","70700","70000","8395448","590534144700","420272691520000","5969782550"
"2021/10/21","70200","-100","-0.14","70300","70600","70000","10891094","766060174200","419078735010000","5969782550"
"2021/10/20","70300","-300","-0.42","70700","71000","70200","10151638","715666115800","419675713265000","5969782550"
"2021/10/19","70600","400","0.57","70800","71000","70400","9507991","671983122600","421466648030000","5969782550"
"2021/10/18","70200","100","0.14","70200","70300","69200","13486391","942009349900","419078735010000","5969782550"
"2021/10/15","70100","700","1.01","70200","71000","70000","18051612","1270264426455","418481756755000","5969782550"
"2021/10/14","69400","600","0.87","69000","69800","68800","19520641","1352533826700","414302908970000","5969782550"
"2021/10/13","68800","-200","-0.29","68700","69600","68300","24172015","1670335641584","410721039440000","5969782550"
"2021/10/12","69000","-2500","-3.50","70700","70900","68700","31001484","2151234190950","411914995950000","5969782550"
