종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"330860","네패스아크","KOSDAQ","우량기업부","15620","20","0.13","15450","15680","15170","22300","344485600","190071102000","12184045"
"005720","넥센","KOSPI",,"4730","-45","-0.94","4735","4785","4700","64118","303985200","253798450980","53543977"
"005725","넥센우","KOSPI",,"3090","0","0.00","3050","3090","3050","7108","21912510","11089848000","3600600"
"002350","넥센타이어","KOSPI",,"7660","-20","-0.26","7630","7790","7630","19928","153078300","749112616590","97667877"
"002355","넥센타이어1우B","KOSPI",,"3235","0","0.00","3185","3240","3185","1152","3709660","21027500000","6500000"
"089140","넥스턴바이오","KOSDAQ","벤처기업부","3070","5","0.16","3040","3280","2995","30473","93265490","37007016560","11282627"
"389650","넥스트바이오메디컬","KOSDAQ","기술성장기업부","33950","7450","28.11","27300","34450","27200","10971250","348550693650","264266178000","8008066"
"137940","넥스트아이","KOSDAQ","중견기업부","408","-1","-0.24","409","427","404","408758","168703907","31954964736","78320992"
"396270","넥스트칩","KOSDAQ","기술성장기업부","7980","-20","-0.25","7880","8080","7800","62462","495698810","144711520000","18088940"
"348210","넥스틴","KOSDAQ GLOBAL","우량기업부","48900","-900","-1.81","49850","49850","48450","56147","2744485100","505957036000","10357360"
"092790","넥스틸","KOSPI",,"8610","-130","-1.49","8820","8880","8580","632137","5504057990","224397260000","26002000"
"225570","넥슨게임즈","KOSDAQ","우량기업부","23800","-150","-0.63","23900","24250","23350","749295","17877934900","1577006191500","65845770"
"217270","넵튠","KOSDAQ","중견기업부","5780","150","2.66","5660","5840","5490","31839","181247680","268019862500","46612150"
"251270","넷마블","KOSPI",,"61600","100","0.16","61500","61900","60100","83930","5120867700","5260354322400","85953502"
"317860","노드메이슨","KONEX","일반기업부","6690","-160","-2.34","6400","6690","6400","315","2076050","29634793350","4429715"
"104620","노랑풍선","KOSDAQ","중견기업부","5280","70","1.34","5210","5330","5190","28873","152030820","83804846540","15842126"
"090350","노루페인트","KOSPI",,"9250","90","0.98","9150","9250","9010","37461","342109190","183800000000","20000000"
"090355","노루페인트우","KOSPI",,"14300","0","0.00","14490","14490","14290","208","2976710","6622701800","463126"
"000320","노루홀딩스","KOSPI",,"13360","80","0.60","13280","13390","13190","8244","109733730","177569777360","13291151"
"000325","노루홀딩스우","KOSPI",,"29100","-500","-1.69","30000","30300","28800","1987","57764500","7148456650","243559"
"194700","노바렉스","KOSDAQ","우량기업부","10800","-50","-0.46","11160","11200","10710","283699","3103495140","203302552320","18754848"
"285490","노바텍","KOSDAQ","우량기업부","12750","160","1.27","12590","12750","12410","8895","111515340","134630328630","10575831"
"283100","노보믹스","KONEX","일반기업부","650","20","3.17","629","664","629","1778","1153724","4267184350","6564899"
"145170","노브랜드","KOSDAQ","중견기업부","14400","-10","-0.07","14420","14550","14160","63269","903106130","130295617900","9079834"
"229500","노브메타파마","KONEX","일반기업부","5430","-40","-0.73","5240","5510","5240","2047","10930890","59333896800","11090448"
"106520","노블엠앤비","KOSDAQ","투자주의환기종목(소속부없음)","411","0","0.00","0","0","0","0","0","15904036272","38695952"
"376930","노을","KOSDAQ","기술성장기업부","2195","-35","-1.57","2230","2270","2170","177173","390132490","81283532000","36947060"
"006280","녹십자","KOSPI",,"166500","-6500","-3.76","171300","172700","166500","104385","17625501200","1950483192200","11686538"
"142280","녹십자엠에스","KOSDAQ","중견기업부","4655","-55","-1.17","4670","4850","4560","690215","3241172395","98389062205","21136211"
"234690","녹십자웰빙","KOSDAQ","우량기업부","9450","60","0.64","9390","9510","9250","39450","370000140","168291576480","17752276"
"005250","녹십자홀딩스","KOSPI",,"17020","-120","-0.70","17140","17210","16850","60722","1031493280","798539005800","47028210"
"005257","녹십자홀딩스2우","KOSPI",,"27050","50","0.19","27000","27300","26900","280","7590300","22884029500","845990"
"004370","농심","KOSPI",,"389500","-5000","-1.27","394500","397000","389000","20724","8123888500","2372230380000","6082642"
"072710","농심홀딩스","KOSPI",,"66900","-200","-0.30","66800","67400","66800","2250","150810000","310268151000","4637790"
"054050","농우바이오","KOSDAQ","우량기업부","7550","20","0.27","7530","7550","7480","9113","68496790","120870429940","16030561"
"069140","누리플랜","KOSDAQ","벤처기업부","1468","21","1.45","1447","1469","1430","64840","94328447","19169313009","13102743"
"040160","누리플렉스","KOSDAQ","우량기업부","2735","35","1.30","2675","2745","2655","8608","23133420","32911610550","12055535"
"332290","누보","KOSDAQ","벤처기업부","1280","-40","-3.03","1320","1320","1270","45620","58669808","42732547840","33384803"
"348340","뉴로메카","KOSDAQ","기술성장기업부","25300","900","3.69","24300","25500","23700","60653","1498647700","266894001000","10549170"
"060260","뉴보텍","KOSDAQ","벤처기업부","1812","-10","-0.55","1840","1858","1750","39191","71187059","15061360308","8312009"
"123840","뉴온","KOSDAQ","관리종목(소속부없음)","280","0","0.00","277","280","270","95880","26486403","81828584600","292244945"
"012340","뉴인텍","KOSDAQ","벤처기업부","612","-2","-0.33","613","623","610","33123","20261561","31206090306","50907162"
"214870","뉴지랩파마","KOSDAQ","투자주의환기종목(소속부없음)","6920","0","0.00","0","0","0","0","0","64765809320","9359221"
"270870","뉴트리","KOSDAQ","우량기업부","11040","-280","-2.47","11210","11380","10880","196304","2168431090","101018459520","9200224"
"144960","뉴파워프라즈마","KOSDAQ","우량기업부","5400","-100","-1.82","5420","5500","5320","58704","317265750","237250948320","43692624"
"085670","뉴프렉스","KOSDAQ","우량기업부","5080","100","2.01","4930","5130","4875","147515","735472140","123476343050","24450761"
"064260","다날","KOSDAQ","우량기업부","3270","-25","-0.76","3265","3305","3200","219159","712145940","226152851200","68949040"
"340360","다보링크","KOSDAQ","중견기업부","2150","65","3.12","1957","2190","1915","1608289","3342421973","92850773680","43388212"
"039560","다산네트웍스","KOSDAQ","우량기업부","3305","-20","-0.60","3265","3350","3210","267842","881100050","130567267205","39505981"
"154040","다산솔루에타","KOSDAQ","중견기업부","1425","3","0.21","1420","1425","1402","20932","29608789","25560933856","17950094"
"058730","다스코","KOSPI",,"3340","-20","-0.60","3350","3365","3250","182176","602489715","62875767645","18796941"
"030210","다올투자증권","KOSPI",,"3185","0","0.00","3185","3185","3140","36992","117293895","192174539430","60911106"
"023590","다우기술","KOSPI",,"18110","-80","-0.44","18190","18200","18020","40556","733223770","810739769190","44866617"
"032190","다우데이타","KOSDAQ","우량기업부","10940","-80","-0.73","11020","11030","10820","64556","704987550","419002000000","38300000"
"323350","다원넥스뷰","KOSDAQ","기술성장기업부","7100","-400","-5.33","7440","7500","6830","101852","723335880","54540076980","7596111"
"068240","다원시스","KOSDAQ","중견기업부","10170","-130","-1.26","10190","10280","10100","53688","544801780","390030326140","38163437"
"145210","다이나믹디자인","KOSPI",,"6070","220","3.76","5800","6200","5770","227203","1372638900","104498601720","17301093"
"019680","대교","KOSPI",,"2195","-30","-1.35","2225","2250","2120","19479","42932530","190157898250","84702850"
"019685","대교우B","KOSPI",,"1305","2","0.15","1301","1339","1301","105472","137637524","25352221950","19426990"
"006370","대구백화점","KOSPI",,"5940","0","0.00","5940","6090","5940","4475","26688370","64280369340","10821611"
"008060","대덕","KOSPI",,"6180","0","0.00","6170","6200","6170","22411","138556660","210118930000","33890150"
"00806K","대덕1우","KOSPI",,"6800","20","0.29","6820","6820","6800","116","788820","8244027600","1212357"
"353200","대덕전자","KOSPI",,"19910","110","0.56","19620","20150","19520","173535","3446973200","984385146000","49416925"
"35320K","대덕전자1우","KOSPI",,"8790","10","0.11","8780","8830","8690","868","7574160","18419612010","2095519"
"000490","대동","KOSPI",,"9560","100","1.06","9400","9560","9310","45676","432763350","245125933280","25640788"
"178600","대동고려삼","KONEX","일반기업부","2985","105","3.65","3280","3280","2710","4","12160","13282056000","4449600"
"020400","대동금속","KOSDAQ","중견기업부","6680","0","0.00","6680","6820","6590","4556","30454280","21399303860","3189166"
"008830","대동기어","KOSDAQ","우량기업부","7770","-30","-0.38","7930","7950","7500","15976","124465450","70192531200","8987520"
"048470","대동스틸","KOSDAQ","중견기업부","4170","45","1.09","4220","4250","4055","30239","124851835","41700000000","10000000"
"008110","대동전자","KOSPI",,"15040","0","0.00","0","0","0","0","0","157776322880","10490447"
"004780","대륙제관","KOSDAQ","우량기업부","4015","0","0.00","3955","4025","3955","11818","47260330","63930859980","15903199"
"005750","대림B&Co","KOSPI",,"3615","10","0.28","3600","3650","3590","2625","9480935","60103425200","16672240"
"017650","대림제지","KOSDAQ","우량기업부","7260","-40","-0.55","7300","7300","7200","1029","7450670","65340000000","9000000"
"006570","대림통상","KOSPI",,"2950","-5","-0.17","2930","2975","2830","3251","9423115","45142125000","15225000"
"007720","대명소노시즌","KOSDAQ","중견기업부","590","8","1.37","583","612","583","521999","311973424","59673866400","100800450"
"389260","대명에너지","KOSDAQ","중견기업부","12960","90","0.70","12980","13070","12610","26688","344933710","220797500000","17050000"
"317850","대모","KOSDAQ","벤처기업부","9750","-20","-0.20","9710","9830","9450","165042","1597574640","81412827600","8324420"
"290670","대보마그네틱","KOSDAQ","우량기업부","17770","140","0.79","17550","18080","17490","8549","152619690","140730690600","7857660"
"078140","대봉엘에스","KOSDAQ","우량기업부","12040","-110","-0.91","12150","12310","11960","178258","2155789660","133482411160","11086579"
"065150","대산F&B","KOSDAQ","관리종목(소속부없음)","145","0","0.00","0","0","0","0","0","18165948725","125282405"
"001680","대상","KOSPI",,"21550","450","2.13","21150","21700","20750","239945","5143020800","750129741250","34648025"
"001685","대상우","KOSPI",,"17500","250","1.45","17120","17580","17120","9554","166237510","23992604730","1370223"
"084690","대상홀딩스","KOSPI",,"8980","170","1.93","8790","8990","8710","85406","757540860","323740089720","36212538"
"084695","대상홀딩스우","KOSPI",,"21000","450","2.19","20550","21250","20550","10757","225631050","19091773800","913482"
"036480","대성미생물","KOSDAQ","중견기업부","10000","0","0.00","9950","10000","9880","8329","82838320","37772000000","3800000"
"128820","대성산업","KOSPI",,"3725","20","0.54","3735","3735","3690","55677","206585610","168728332940","45235478"
"117580","대성에너지","KOSPI",,"9700","-110","-1.12","9910","9990","9560","479351","4678585410","267575000000","27500000"
"027830","대성창투","KOSDAQ","중견기업부","1608","10","0.63","1598","1627","1580","118538","190121798","87588000000","54000000"
"104040","대성파인텍","KOSDAQ","벤처기업부","1000","19","1.94","1178","1179","1000","3187740","3448258778","36284812570","35925557"
"129920","대성하이텍","KOSDAQ","벤처기업부","4430","130","3.02","4290","4510","4215","199952","877992500","60894835320","13715053"
"016710","대성홀딩스","KOSPI",,"8140","10","0.12","8130","8250","8120","3570","29121420","131772669210","16089459"
"438220","대신밸런스제13호스팩","KOSDAQ","SPAC(소속부없음)","2205","15","0.68","2190","2215","2150","93982","205697750","12379800000","5640000"
"442310","대신밸런스제14호스팩","KOSDAQ","SPAC(소속부없음)","2250","15","0.67","2240","2250","2220","10980","24554520","15097500000","6710000"
"457390","대신밸런스제15호스팩","KOSDAQ","SPAC(소속부없음)","2290","-10","-0.43","2305","2340","2280","27453","63139810","16250850000","7035000"
"457630","대신밸런스제16호스팩","KOSDAQ","SPAC(소속부없음)","2170","5","0.23","2170","2175","2160","5202","11260740","15862700000","7310000"
"471050","대신밸런스제17호스팩","KOSDAQ","SPAC(소속부없음)","2155","5","0.23","2155","2165","2150","29859","64222595","13059300000","6060000"
"478780","대신밸런스제18호스팩","KOSDAQ","SPAC(소속부없음)","2030","-5","-0.25","2030","2040","2030","264034","536778645","16136400000","7910000"
"020180","대신정보통신","KOSDAQ","중견기업부","906","8","0.89","898","907","892","73003","65665587","34778168075","38428915"
"003540","대신증권","KOSPI",,"16900","0","0.00","16900","16900","16740","54301","914049530","856039524000","50773400"
"003547","대신증권2우B","KOSPI",,"15040","40","0.27","15020","15040","14980","20578","308834770","150300000000","10000000"
"003545","대신증권우","KOSPI",,"15650","-10","-0.06","15670","15690","15540","33435","521908440","406900000000","26000000"
"045390","대아티아이","KOSDAQ","우량기업부","2760","-35","-1.25","2770","2810","2735","249566","686769155","194154153635","70473377"
"009190","대양금속","KOSPI",,"2080","30","1.46","2060","2090","2025","224957","463036190","81768239200","39693320"
"108380","대양전기공업","KOSDAQ","우량기업부","12650","-10","-0.08","12670","12790","12370","7265","91423770","120548395800","9567333"
"014160","대영포장","KOSPI",,"1090","8","0.74","1080","1098","1067","166581","180086430","118258452959","108394549"
"047040","대우건설","KOSPI",,"4230","-30","-0.70","4250","4255","4170","1482202","6235349610","1760161871930","415622638"
"009320","대우부품","KOSPI",,"1164","2","0.17","1162","1165","1140","43258","49836037","57384932280","49299770"
"003090","대웅","KOSPI",,"24200","-400","-1.63","24800","24850","23850","64005","1552674600","1392500421000","58141980"
"069620","대웅제약","KOSPI",,"138800","-3700","-2.60","142800","143300","137000","53348","7410717400","1604740637500","11586575"
"007680","대원","KOSDAQ","벤처기업부","4280","-25","-0.58","4245","4305","4230","1697","7235380","57281979240","13446474"
